Dir,Bed,Bath,Mts,Precio,geo,Cluster
"Calle A, Irpavi 2, irpavi 2",-0.98596007,-1.339672023,-0.762744873,-1.188824057,POINT (-68.0820496 -16.5011812),-1
1063 calle final canada,-0.98596007,-1.339672023,-1.111591078,-1.170694335,POINT (-68.1263274 -16.4864047),-1
calle 5-z las nieces c5 final landaeta,0.207886639,-0.58086943,-0.531969691,-1.061916004,POINT (-68.1292611 -16.4882005),-1
19 urb villa adela,-0.687498393,-1.339672023,-0.722493387,-1.056477088,POINT (-68.1263274 -16.4864047),-1
"25 25 de calacoto, los pinos ",-0.687498393,-0.960270726,-1.216244939,-0.982145228,POINT (-68.1292611 -16.4882005),0
calle 60 chasquipampa,-0.687498393,-0.960270726,-0.421948965,-0.898748508,POINT (-68.0410921 -16.5345272),0
"2200 v san antonio, av josefa mujia",-0.389036716,-0.960270726,-0.694612525,-0.862489064,POINT (-68.1102396 -16.5013349),0
"calle 5 No 75, barrio agrario Mallasa, la paz, bolivia",-0.389036716,-0.960270726,-1.041821837,-0.844359342,POINT (-68.1029548 -16.5055758),0
"calle 3 No 992, rosas de wilacota, la paz, bolivia",0.207886639,-0.960270726,-0.078469624,-0.840733398,POINT (-68.0428908 -16.5265569),-1
"calle victoria, pacajes, la paz, bolivia",-0.090575038,-0.58086943,-0.652724146,-0.826229621,POINT (-68.0582117 -16.5265099),0
"Av Carlos Loayza Beltran 50, Alto san antonio, La Paz, Bolivia",-0.389036716,-0.960270726,-0.486082998,-0.826229621,POINT (-68.1088455 -16.5045882),0
"Carandaiti, Cristo Rey, La Paz, Bolivia",-0.389036716,-0.58086943,-0.934484543,-0.808099899,POINT (-68.1370996 -16.5122387),0
"Calle 21 140, Colinas de Achumani, La Paz Bolivia",-0.687498393,-0.58086943,-0.579090763,-0.746458845,POINT (-68.0692373 -16.5288624),0
"Calle E, Irpavi 2, La Paz, Bolivia",-0.389036716,-0.201468133,-0.993144374,-0.770832443,POINT (-68.0820747 -16.5021211),0
"Rafael Pabon 76, Villa el Carmen, La Paz, Bolivia",-0.090575038,-0.201468133,-0.113193239,-0.789970177,POINT (-68.1128026 -16.4658671),0
"El pedregal, la Paz, Bolivia",-0.687498393,-0.58086943,-0.067735895,-0.735581011,POINT (-68.0545677746202 -16.549055799999998),0
"Avenida A, Pedregal, La Paz, Bolivia",-0.389036716,0.177933164,-0.37096375,-0.721077234,POINT (-68.053502 -16.5482002),0
"Araona 30, San Antonio, La Paz, Bolivia",-0.389036716,-0.960270726,0.463503207,-0.71745129,POINT (-68.2676042 -16.5204987),-1
"Alberto Udaeda, Rosales, La Paz, Bolivia",-0.389036716,0.177933164,-0.08160924,-0.706573457,POINT (-68.0825737 -16.5303566),0
"Los Rosales 6, Los Rosales, La Paz, Bolivia",-0.687498393,-0.201468133,-0.183123486,-0.688443735,POINT (-68.0825737 -16.5303566),0
"Sector F No 10, Urbanización Retamani, Mallasa, La Paz, Bolivia",-0.389036716,-0.201468133,0.299894337,-0.663062124,POINT (-68.090581 -16.5776727),0
"Calle 50 9, Chasquipampa, La Paz, Bolivia",-0.687498393,-0.960270726,-0.717394866,-0.652184291,POINT (-68.0489001 -16.538895),0
"Urbanizacion Colinas verdes , Las lomas Achumani, La Paz, Bolivia",-0.687498393,-0.960270726,-0.403943133,-0.644932402,POINT (-68.0692373 -16.5288209),0
"Segurncani, Lomas de Achumani, La Paz, Bolivia",-0.090575038,0.177933164,-0.317295103,-0.590543237,POINT (-68.1234118 -16.5775824),0
"Calle 19, Kantuta, Llojeta, La Paz, Bolivia",-0.389036716,-0.201468133,0.042284831,-0.608672959,POINT (-67.2679389 -16.3999784),0
"Achumani, La Paz, Bolivia",-0.687498393,-0.201468133,0.165722719,-0.608672959,POINT (-67.9382744 -16.8845181),0
"Calle 7 15, Bolonia, La Paz, Bolivia",-0.687498393,0.177933164,0.219391366,-0.572413515,POINT (-68.1129681 -16.4667665),0
"Calle 2 No 2, Obrajes, La Paz, Bolivia",0.207886639,-0.201468133,0.061068858,-0.54340596,POINT (-68.1102388 -16.5194813),0
"Calle Felipe Lopez, Alto Miraflores, La Paz, Bolivia",1.10327167,-0.201468133,-0.344129426,-0.536154071,POINT (-68.1231883 -16.4812224),-1
"Calle E, Irpavi 2, La Paz, Bolivia",-0.389036716,-0.201468133,-0.835573227,-0.522970138,POINT (-68.0820747 -16.5021211),0
"Mote Bello, La Paz, Bolivia",-0.090575038,-0.201468133,0.576287869,-0.499894628,POINT (-68.0723969 -16.4989982),0
"Calle 5 No 6, Pampahasi, La Paz, Bolivia",1.700195025,0.177933164,0.136204964,-0.463635184,POINT (-68.1026937 -16.4989404),-1
"Kellumani, La Paz, Bolivia",-0.389036716,0.177933164,0.117420937,-0.499894628,POINT (-68.0469524 -16.4989372),0
"Calle 2, Mallasa, La Paz, Bolivia",1.10327167,-0.58086943,0.568237571,-0.499894628,POINT (-68.0902382 -16.5679996),-1
"Centro, La Paz, Bolivia",0.506348316,-0.58086943,0.06375229,-0.463635184,POINT (-68.1297842 -16.502422),-1
"Calle 6, Los Pinos, La Paz, Bolivia",-0.687498393,-0.58086943,-0.435366126,-0.450944379,POINT (-68.0726892 -16.546484),0
"Calle E, Irpavi 2, La Paz, Bolivia",-0.389036716,-0.201468133,-0.636435712,-0.426806467,POINT (-68.0820747 -16.5021211),0
"Calle 31 200, Cota Cota, La Paz, Bolivia",-0.389036716,-0.960270726,0.095524129,-0.318597409,POINT (-68.0613333 -16.5462108),0
"Calle 6 402, Los Pinos, La Paz, Bolivia",-0.389036716,-0.58086943,-0.084158501,-0.354856853,POINT (-68.0726892 -16.546484),0
"Calle 11 99, Los Rosales, La Paz, Bolivia",-0.687498393,-0.960270726,1.907270313,-0.391116297,POINT (-68.0825737 -16.5303566),-1
"Calle 13 y 14 de Septiembre, Obrajes, La Paz, Bolivia",-0.389036716,0.177933164,-0.674191605,-0.318597409,POINT (-68.1064855 -16.5275029),0
"Av Los Sargentos, La Paz, Bolivia",1.401733348,0.177933164,-0.446099856,-0.246078522,POINT (-68.1161758 -16.5274656),-1
"Av del Policia 374, La Paz, Bolivia",-0.687498393,-0.960270726,-0.480984476,-0.209819079,POINT (-68.1040221 -16.5328443),0
"Cordero 139, Sopocachi, La Paz Bolivia",-0.687498393,-0.960270726,0.01813394,-0.137300191,POINT (-68.1328458 -16.5111082),-1
"Ruiseñor Aruntaya 24, irpavi, La Paz, Bolivia",0.207886639,-0.58086943,0.766382216,-0.137300191,POINT (-68.0847929 -16.5029375),-1
"Calle vilacanota 1759, La Paz, Bolivia",0.207886639,-0.201468133,-0.54052984,-0.232779823,POINT (-68.1569284 -16.4886902),-1
"Los Clavales 2542, Sopocachi, La Paz, Bolivia",-0.687498393,-0.58086943,0.219391366,-0.101040748,POINT (-68.1449952 -16.5090077),0
"Maria Aguirre 615, La Paz, Bolivia",0.804809993,0.177933164,0.404762873,-0.064781304,POINT (-68.072903 -16.5453335),-1
"Jose Saravia, Tembladerani, La Paz, Bolivia",1.10327167,4.351347428,0.710459486,-0.02852186,POINT (-68.1407277 -16.512726),-1
"Fermin Rivero 727, San Pedro, La Paz, Bolivia",1.700195025,0.177933164,0.525302654,-0.02852186,POINT (-68.1447137 -16.5015904),-1
"Las Vizcachas, Auquisamaña, La Paz, Bolivia",-0.090575038,0.177933164,0.455399241,0.080256471,POINT (-68.1775444 -16.5015001),-1
"Achumani, La Paz, Bolivia",-0.389036716,-0.201468133,1.02442107,0.297813133,POINT (-67.9382744 -16.8845181),-1
"Achumani, La Paz, Bolivia",-0.389036716,0.557334461,0.117420937,0.189034802,POINT (-67.9382744 -16.8845181),-1
"Av Los Sargentos 35, Bajo Llojeta, La Paz, Bolivia",1.401733348,0.557334461,-0.057002165,0.116515914,POINT (-68.1239235 -16.5274975),-1
"Francisco Bedregal 2941, Centro, La Paz, Bolivia",-0.389036716,-0.58086943,0.759324789,0.334072576,POINT (-68.1302294 -16.5163203),-1
"Calle 5, Irpavi, La Paz, Bolivia",-0.389036716,0.177933164,1.222646218,0.37033202,POINT (-68.0829997 -16.5025652),-1
"Calle Agrario 2, Mallasa, La Paz, Bolivia",1.998656702,1.316137054,-0.27792915,0.388461742,POINT (-68.088055 -16.5693149),-1
"Eduardo Berdecio, San Pedro, La Paz, Bolivia",1.401733348,0.177933164,0.562495026,0.479110351,POINT (-68.1388724 -16.5089274),-1
"Llojeta, Vergel, La Paz, Bolivia",4.386350119,1.316137054,5.666759031,0.696667013,POINT (-68.1400515 -16.5334633),-1
"Casimiro corrales, Miraflores, La Paz, Bolivia",1.401733348,5.868952615,0.632639948,0.877964231,POINT (-68.1251958 -16.4974011),-1
"Ex Hacienda La Union 124, Villa el Carmen, La Paz, Bolivia",4.386350119,1.695538351,1.836347196,1.204299224,POINT (-68.1172997 -16.4670568),-1
"Eguino Entre Calle Viacha y Manco, La Paz, Bolivia",1.401733348,0.177933164,0.676084718,1.204299224,POINT (-68.1429567 -16.493872),-1
"Urbanizacion Los Geranios 21, La Florida, La Paz, Bolivia",-0.090575038,0.177933164,1.848234801,1.313077555,POINT (-68.1768919 -16.4923771),-1
"Jardines del Sur 53, Achumani, La Paz, Bolivia",-0.090575038,0.936735757,1.432302787,1.450863441,POINT (-68.1941791 -16.509976),-1
"Calle 17, calacoto, La Paz, Bolivia",-0.389036716,-0.201468133,2.519092888,1.494374773,POINT (-68.0827447 -16.5387682),-1
"Urbanizacion Sequioa 12A, Aranjuez Sequioa, La Paz, Bolivia",-0.687498393,0.177933164,-0.505135367,-0.217316024,POINT (-68.130224 -16.5471876),0
"Urbanizacion los Geranios 27, La Florida, La Paz, Bolivia",-0.090575038,0.177933164,3.326806024,1.711931435,POINT (-68.1768919 -16.4923771),-1
"Calle 32, Achumani, La Paz, Bolivia",-0.389036716,-0.58086943,0.849997968,0.660407569,POINT (-68.0736753 -16.5299455),-1
"Prolongacion 31, Achumani, La Paz, Bolivia",-0.194808158,-0.340856729,-0.341370388,-0.779092344,POINT (-68.054357 -16.5177921),0
"Alto irpavi, La Paz, Bolivia",-0.389036716,0.557334461,-0.698342496,-0.409246019,POINT (-68.080559 -16.5229935),0
"Achumani, La Paz, Bolivia",-0.687498393,0.936735757,0.256959419,3.85123861,POINT (-67.9382744 -16.8845181),-1
"Achumani, La Paz, Bolivia",-0.090575038,0.936735757,0.930500938,2.25582309,POINT (-67.9382744 -16.8845181),-1
"Calacoto, La Paz, Bolivia",-0.687498393,-0.201468133,-0.531969691,1.294947833,POINT (-68.6355054 -17.2826209),-1
"Calle 31, Achumani, La Paz, Bolivia",-0.389036716,0.177933164,-0.706392793,-0.779092344,POINT (-68.0736753 -16.5299455),0
"Retamani 2, Mallasa, La Paz, Bolivia",-0.389036716,-0.201468133,-1.020354378,-0.971267395,POINT (-68.0959394 -16.575464),0
"Pamirpampa, Achumani, La Paz, Bolivia",-0.090575038,0.177933164,-0.827147249,0.152775358,POINT (-68.0720111 -16.5263415),0
"Club de Golf, Mallasilla, La Paz, Bolivia",-0.389036716,0.177933164,-0.706392793,0.315942854,POINT (-68.1058322 -16.5693748),0
"Calle 39, Achumani, La Paz, Bolivia",-0.090575038,-0.201468133,-0.676875038,-0.445505462,POINT (-68.0736753 -16.5299455),0
"Calle 26 No 23, Cota Cota, La Paz, Bolivia",-0.389036716,0.177933164,-0.802996358,0.007737583,POINT (-68.0709256 -16.5415987),0
"Aquisamaña, La Paz, Bolivia",-0.090575038,1.316137054,0.219391366,3.126049737,POINT (-68.0731613 -16.5524759),-1
"Aquisamaña, La Paz, Bolivia",-0.687498393,-0.58086943,-0.934484543,-0.499894628,POINT (-68.0731613 -16.5524759),0
"Calle 5 A1, Rio Abajo, La Paz, Bolivia",-0.687498393,-0.58086943,-0.98815319,-0.847985287,POINT (-68.0770195 -16.5875794),0
"Calle 31, Achumani, La Paz, Bolivia",-0.389036716,0.557334461,-0.609789229,0.479110351,POINT (-68.11284 -16.5665517),0
"Aranjuez, La Paz, Bolivia",-0.389036716,0.557334461,-0.424632397,0.297813133,POINT (-66.9561011 -17.5895077),0
"Calle 30, Achumani, La Paz, Bolivia",-0.090575038,0.177933164,-0.215324674,-0.064781304,POINT (-68.0736753 -16.5299455),-1
"Calle 22, Achumani, La Paz, Bolivia",-0.389036716,-0.201468133,0.031551102,1.421855886,POINT (-68.0707463 -16.5289676),-1
"Urbanización Isla Verde, Mallasilla, La Paz, Bolivia",-0.687498393,0.177933164,-0.904966787,-0.576039459,POINT (-68.0770195 -16.5875794),0
"Plaza España, Sopocachi, La Paz, Bolivia",0.804809993,0.177933164,-0.564170879,-0.064781304,POINT (-68.11284 -16.5665517),-1
"Calle 30, Cota Cota, La Paz, Bolivia",-0.389036716,0.177933164,-0.558804014,1.313077555,POINT (-68.0632075 -16.5400175),-1
"Urbanizacion Valle Vergelito, Llojeta, La Paz, Bolivia",3.192503411,2.833742241,1.909953745,0.696667013,POINT (-68.2917793 -16.559659),-1
"Auqisamaña, La Paz, Bolivia",-0.389036716,0.557334461,0.219391366,2.147044759,POINT (-68.0731613 -16.5524759),-1
"Paripampa, La Paz, Bolivia",-0.687498393,-0.201468133,-0.907650219,-0.463635184,POINT (-69.0010604 -15.5448056),0
"Umamanta fase 2, Mallasa, La Paz, Bolivia",-0.389036716,-0.201468133,-0.612472661,-0.119170469,POINT (-68.0712032 -16.6122848),0
"Los Geranios, La fFlorida, La Paz, Bolivia",-0.090575038,0.177933164,-0.295827644,1.711931435,POINT (-68.1591581 -16.5783751),-1
"Umamanta , Mallasa, La Paz, Bolivia",-0.389036716,0.177933164,-0.639306985,-0.119170469,POINT (-68.0712032 -16.6122848),0
"Las Retamas, Seguencoma, La Paz, Bolivia",-0.687498393,0.177933164,-0.972052596,-0.499894628,POINT (-68.0717097 -16.5427782),0
"Condominio Enmanuel, Lomas de Achumani, La Paz, Bolivia",-0.389036716,-0.58086943,-0.183123486,0.732926456,POINT (-68.1514231 -16.5027495),-1
"Sequoia, La Paz, Bolivia",-0.389036716,0.177933164,0.031551102,0.225294245,POINT (-68.1119722 -16.5561464),-1
"San Jorge, La Paz, Bolivia",2.894041734,1.316137054,0.849997968,4.032535829,POINT (-67.4203538 -16.5073793),-1
"Calle Claudio Sanjines, Miraflores, La Paz, Bolivia",0.207886639,-0.58086943,-0.644673849,-0.191689357,POINT (-68.1211359 -16.5058081),-1
"Condominio Esmeralda, La Paz, Bolivia",-0.687498393,-0.58086943,-1.172773335,-0.823328865,POINT (-68.0721243 -16.5524357),0